Date,Month,Visitors (Visit),Buyers (Placed Orders),Units (Placed Orders),Orders (Placed Orders),Sales (Placed Orders) (VND),Conversion Rate (Visit to Placed),Buyers (Confirmed Orders),Units(Confirmed Orders),Orders (Confirmed Orders),Sales(Confirmed Orders) (VND),Sales per Buyer (Confirmed Orders) (VND),Conversion Rate
4/2/2025,4,1028503,4850,10709,5503,1567250237,0.47%,4484,9205,4723,1344069052,299748,0.44%
4/3/2025,4,1258464,12253,31204,15445,4338827487,0.97%,9632,22360,11053,3119618616,323881,0.77%
4/4/2025,4,1579945,53146,140871,67837,18317775440,3.36%,47167,112603,53619,14414322106,305602,2.99%
4/5/2025,4,815307,4344,9081,4952,1454441227,0.53%,5804,11568,6165,1719290600,296225,0.71%
4/6/2025,4,792732,2881,5166,3215,902546569,0.36%,2741,4736,2891,812164436,296302,0.35%
4/7/2025,4,967217,4997,10964,5810,1594562415,0.52%,4499,9104,4873,1318273381,293015,0.47%
4/8/2025,4,630759,3962,8619,4499,1320382973,0.63%,3584,7255,3814,1100863011,307160,0.57%
4/9/2025,4,512054,2625,4767,2894,856787063,0.51%,2507,4350,2619,770181512,307212,0.49%
4/10/2025,4,637873,3941,8164,4377,1307713141,0.62%,3547,6883,3720,1099916357,310098,0.56%
4/11/2025,4,470716,2448,4686,2712,846307797,0.52%,2327,4194,2427,749284844,321996,0.49%
4/12/2025,4,583407,2290,4523,2547,784847777,0.39%,2136,3981,2243,685118624,320748,0.37%
4/13/2025,4,632355,2379,4555,2633,831624502,0.38%,2213,4039,2322,734964046,332112,0.35%
4/14/2025,4,877007,4754,9549,5355,1511728804,0.54%,4138,7718,4370,1232660267,297888,0.47%
4/15/2025,4,960591,14804,36075,17718,4786577388,1.54%,13192,29379,14385,3883713695,294399,1.37%
4/16/2025,4,557293,2405,4458,2640,809393690,0.43%,2623,4827,2739,811521170,309387,0.47%
4/17/2025,4,567448,2192,4227,2426,770993739,0.39%,2030,3720,2133,672995218,331525,0.36%
4/18/2025,4,522256,2050,3780,2262,690344919,0.39%,1919,3358,1996,613109561,319494,0.37%
4/19/2025,4,558899,2086,3986,2336,730958853,0.37%,1926,3459,2036,633625802,328985,0.34%
4/20/2025,4,687837,4521,9695,5096,1472394896,0.66%,3947,7896,4184,1190561574,301637,0.57%
4/21/2025,4,499432,2316,4276,2548,781712313,0.46%,2262,4001,2385,723456917,319831,0.45%
4/22/2025,4,481316,2142,3972,2346,742636122,0.45%,1974,3501,2056,654266056,331442,0.41%
